                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 0.6845,                0.39803,                 1.0006,                 0.9836,                0.96296,                 0.9816,                0.77172,                 1.1378,                0.46269,                 1.4738,             0.00098101,             0.00098101,             0.00098101
                     97,                0.68361,                0.40517,                 1.0023,                0.98184,                0.96524,                0.98178,                0.73929,                  1.142,                0.45362,                 1.4639,             0.00097629,             0.00097629,             0.00097629
                     98,                 0.6663,                 0.3947,                0.98521,                0.97869,                0.96482,                0.98049,                0.72129,                  1.222,                0.48261,                 1.5383,             0.00097158,             0.00097158,             0.00097158
                     99,                0.67236,                0.40019,                 0.9946,                0.96645,                0.97415,                 0.9813,                0.69743,                 1.2155,                0.49072,                 1.5739,             0.00096686,             0.00096686,             0.00096686
                    100,                0.66307,                0.39271,                0.99847,                0.97643,                0.96764,                0.98185,                0.68282,                 1.2327,                 0.4733,                 1.6107,             0.00096215,             0.00096215,             0.00096215
                    101,                0.63753,                 0.3855,                0.98545,                0.96472,                0.96202,                0.98209,                0.71488,                 1.2117,                 0.4673,                 1.5734,             0.00095743,             0.00095743,             0.00095743
                    102,                  0.657,                0.39131,                0.99099,                0.94475,                0.96978,                0.97338,                0.70687,                 1.2377,                0.47359,                  1.598,             0.00095271,             0.00095271,             0.00095271
                    103,                0.64164,                0.38736,                0.98524,                0.97806,                0.97222,                0.98958,                0.72191,                  1.213,                0.45268,                 1.6054,               0.000948,               0.000948,               0.000948
                    104,                0.64034,                0.38464,                0.98341,                0.97164,                0.97222,                0.97946,                0.73151,                 1.2165,                0.45606,                 1.6025,             0.00094328,             0.00094328,             0.00094328
                    105,                0.63688,                0.38349,                0.97212,                 0.9587,                0.97222,                0.97521,                0.72702,                 1.2238,                0.50763,                 1.5738,             0.00093857,             0.00093857,             0.00093857
                    106,                0.63166,                0.38365,                0.98523,                0.95345,                 0.9537,                0.96397,                0.72902,                 1.2608,                0.52307,                 1.5999,             0.00093385,             0.00093385,             0.00093385
                    107,                0.62872,                 0.3752,                0.97766,                0.95772,                0.98148,                0.97689,                0.73018,                 1.2088,                 0.5155,                 1.5795,             0.00092914,             0.00092914,             0.00092914
                    108,                0.63627,                0.38066,                0.97563,                 0.9714,                0.98082,                0.97355,                0.74222,                  1.171,                0.43497,                 1.5925,             0.00092442,             0.00092442,             0.00092442
                    109,                0.63832,                0.38581,                0.97816,                 0.9624,                 0.9677,                0.97429,                0.73782,                  1.181,                0.45528,                 1.6058,              0.0009197,              0.0009197,              0.0009197
                    110,                0.60995,                0.37951,                 0.9669,                0.94101,                0.94191,                0.97563,                0.72361,                 1.2114,                0.48427,                 1.6027,             0.00091499,             0.00091499,             0.00091499
                    111,                0.62894,                 0.3756,                0.96772,                0.96563,                0.96874,                0.97871,                0.73816,                  1.167,                0.46074,                 1.5602,             0.00091027,             0.00091027,             0.00091027
                    112,                0.61468,                0.37846,                0.96989,                0.94709,                0.96057,                0.96588,                0.71426,                 1.1956,                0.45432,                 1.5755,             0.00090556,             0.00090556,             0.00090556
                    113,                0.61102,                0.36586,                0.96866,                0.97637,                0.96217,                0.97654,                0.65365,                 1.3259,                 0.5051,                 1.6674,             0.00090084,             0.00090084,             0.00090084
                    114,                0.63583,                0.38263,                0.98418,                0.95004,                0.96402,                0.97787,                0.69665,                 1.2551,                0.49854,                 1.6566,             0.00089613,             0.00089613,             0.00089613
                    115,                0.62201,                0.37622,                0.95982,                0.95343,                0.95707,                0.97912,                0.72843,                 1.2672,                0.48774,                 1.6545,             0.00089141,             0.00089141,             0.00089141
                    116,                0.62301,                0.36977,                0.96141,                 0.9465,                0.97083,                0.97891,                0.70841,                 1.3022,                0.52148,                 1.6755,             0.00088669,             0.00088669,             0.00088669
                    117,                0.60591,                0.35974,                0.96904,                0.96632,                0.97581,                0.98203,                0.71517,                 1.2711,                0.49993,                 1.6741,             0.00088198,             0.00088198,             0.00088198
                    118,                0.61582,                0.36694,                0.97129,                0.96357,                0.96806,                0.98157,                0.70672,                 1.2445,                0.46078,                  1.627,             0.00087726,             0.00087726,             0.00087726
                    119,                0.59845,                 0.3596,                0.97045,                0.95613,                0.97627,                0.98169,                0.73893,                 1.1754,                0.46634,                 1.5627,             0.00087255,             0.00087255,             0.00087255
                    120,                0.59332,                0.36308,                 0.9609,                0.96112,                0.97741,                0.98158,                0.70575,                 1.1676,                0.45064,                 1.5813,             0.00086783,             0.00086783,             0.00086783
                    121,                0.59075,                 0.3636,                0.95977,                0.98974,                0.98029,                0.99027,                0.73171,                 1.1839,                0.43812,                 1.5733,             0.00086312,             0.00086312,             0.00086312
                    122,                0.59804,                0.36392,                 0.9623,                0.98512,                0.95576,                  0.983,                 0.7102,                 1.1764,                0.45522,                 1.5514,              0.0008584,              0.0008584,              0.0008584
                    123,                0.61781,                0.37494,                0.97672,                0.98673,                 0.9444,                0.98278,                0.73293,                 1.1578,                0.45695,                 1.5184,             0.00085368,             0.00085368,             0.00085368
                    124,                0.59489,                0.37198,                  0.973,                0.98809,                 0.9537,                0.97619,                0.71622,                 1.1703,                0.45023,                 1.5484,             0.00084897,             0.00084897,             0.00084897
                    125,                0.60657,                0.36556,                0.97108,                0.93414,                0.97669,                0.98445,                0.70168,                 1.2368,                0.47456,                 1.5416,             0.00084425,             0.00084425,             0.00084425
                    126,                 0.6016,                0.37422,                0.96565,                0.91888,                0.98523,                0.98707,                0.72788,                 1.1698,                0.49625,                 1.4702,             0.00083954,             0.00083954,             0.00083954
                    127,                0.60792,                0.37928,                0.96216,                0.94226,                0.97716,                0.97998,                0.70551,                 1.3154,                0.52613,                  1.634,             0.00083482,             0.00083482,             0.00083482
                    128,                0.62985,                0.37208,                0.97372,                0.97221,                0.97224,                0.98762,                0.69384,                 1.2981,                0.50768,                 1.7083,             0.00083011,             0.00083011,             0.00083011
                    129,                0.60385,                 0.3741,                0.96588,                0.96904,                 0.9537,                0.97932,                0.69772,                 1.2692,                0.51072,                 1.6748,             0.00082539,             0.00082539,             0.00082539
                    130,                0.59038,                0.35663,                0.95459,                0.96826,                0.98148,                 0.9837,                0.70107,                 1.2745,                 0.4893,                 1.6511,             0.00082067,             0.00082067,             0.00082067
                    131,                0.61403,                0.37079,                0.96123,                0.96888,                0.97691,                0.98052,                0.71078,                 1.2788,                0.51088,                 1.6309,             0.00081596,             0.00081596,             0.00081596
                    132,                0.62539,                0.37403,                0.97587,                0.90846,                0.96296,                0.97683,                0.64127,                 1.3375,                0.50984,                 1.7139,             0.00081124,             0.00081124,             0.00081124
                    133,                0.58593,                0.34561,                 0.9573,                0.97125,                0.97125,                0.98055,                0.70322,                 1.2732,                 0.4837,                 1.6359,             0.00080653,             0.00080653,             0.00080653
                    134,                0.59043,                0.35818,                0.97415,                0.97485,                0.96086,                0.98243,                0.67301,                 1.2769,                0.50051,                 1.6165,             0.00080181,             0.00080181,             0.00080181
                    135,                0.57804,                  0.353,                 0.9512,                0.91354,                0.97297,                0.98294,                0.65645,                 1.2529,                 0.4841,                 1.5885,              0.0007971,              0.0007971,              0.0007971
                    136,                0.58858,                0.35573,                0.95164,                0.90596,                0.95038,                0.98089,                0.69378,                 1.2675,                0.49899,                 1.6258,             0.00079238,             0.00079238,             0.00079238
                    137,                0.56727,                0.34352,                0.94525,                0.96176,                0.94882,                0.97965,                0.69849,                 1.2617,                0.48482,                  1.633,             0.00078766,             0.00078766,             0.00078766
                    138,                0.56883,                0.35521,                  0.941,                0.98427,                0.94444,                0.98037,                0.68415,                 1.2813,                0.47574,                 1.6258,             0.00078295,             0.00078295,             0.00078295
                    139,                0.57242,                0.34605,                0.95318,                 0.9163,                0.95427,                0.98052,                0.68771,                 1.2539,                0.48308,                 1.6109,             0.00077823,             0.00077823,             0.00077823
                    140,                0.56261,                0.34071,                0.94405,                0.96306,                0.97222,                0.98154,                0.70038,                 1.2332,                0.47049,                 1.6304,             0.00077352,             0.00077352,             0.00077352
                    141,                0.57656,                0.34856,                0.95525,                0.96423,                0.95826,                0.98178,                0.73745,                 1.2182,                0.47263,                 1.6081,              0.0007688,              0.0007688,              0.0007688
                    142,                 0.5597,                0.33948,                0.94174,                0.92958,                0.98148,                0.97854,                0.70997,                 1.2201,                 0.4756,                 1.6014,             0.00076409,             0.00076409,             0.00076409
                    143,                0.56101,                0.33816,                0.94572,                0.94954,                0.96912,                0.97857,                0.69411,                 1.2333,                0.49413,                 1.5583,             0.00075937,             0.00075937,             0.00075937
                    144,                0.58487,                0.35636,                0.94948,                0.94349,                0.98148,                0.97828,                0.70427,                  1.252,                 0.4882,                 1.5926,             0.00075465,             0.00075465,             0.00075465
                    145,                0.58912,                0.35534,                0.95259,                0.96299,                 0.9659,                0.97933,                0.71794,                 1.2065,                0.46326,                  1.536,             0.00074994,             0.00074994,             0.00074994
                    146,                0.57086,                0.34354,                0.93679,                0.95377,                0.98148,                0.98097,                0.71751,                 1.2544,                0.49067,                 1.5968,             0.00074522,             0.00074522,             0.00074522
                    147,                0.55902,                0.34109,                0.94084,                0.98221,                 0.9537,                0.97957,                0.71803,                 1.1645,                 0.4825,                 1.5647,             0.00074051,             0.00074051,             0.00074051
                    148,                0.57084,                0.34571,                0.94383,                0.98973,                0.96237,                0.98105,                0.71457,                 1.1639,                 0.4731,                 1.5788,             0.00073579,             0.00073579,             0.00073579
                    149,                0.52373,                0.32357,                0.92267,                0.94247,                0.94696,                0.98198,                 0.7098,                 1.1985,                0.45763,                 1.6173,             0.00073108,             0.00073108,             0.00073108
                    150,                0.51774,                0.32299,                0.93097,                0.92874,                 0.9505,                0.98442,                0.71704,                  1.152,                0.44793,                 1.5663,             0.00072636,             0.00072636,             0.00072636
                    151,                0.51955,                0.32375,                0.92597,                0.94229,                 0.9605,                0.98456,                0.70228,                 1.2336,                0.47699,                  1.603,             0.00072164,             0.00072164,             0.00072164
